2024-05-17 12:25:39,214 - Screen recording started
2024-05-17 12:25:39,821 - Firefox browser is not installed
2024-05-17 12:25:39,828 - Firefox history saved to C:\Users\DILEEBAN\PycharmProjects\cybersecurity\Logs\Browser_History\Firefox_history.txt
2024-05-17 12:25:45,622 - Chrome history saved to C:\Users\DILEEBAN\PycharmProjects\cybersecurity\Logs\Browser_History\Chrome_history.txt
2024-05-17 12:25:45,622 - Error fetching history from Safari: Safari browser is not supported on Windows
2024-05-17 12:25:45,622 - Brave browser is not installed
2024-05-17 12:25:45,683 - Brave history saved to C:\Users\DILEEBAN\PycharmProjects\cybersecurity\Logs\Browser_History\Brave_history.txt
2024-05-17 12:25:45,685 - Error fetching history from Opera: [WinError 2] The system cannot find the file specified: 'C:\\Users\\DILEEBAN\\AppData\\Roaming\\Opera Software\\Opera Stable\\History'
2024-05-17 12:25:49,100 - Edge history saved to C:\Users\DILEEBAN\PycharmProjects\cybersecurity\Logs\Browser_History\Edge_history.txt
2024-05-17 12:34:43,991 - Mouse moved to (6.69 cm, 12.04 cm)
2024-05-17 12:34:44,000 - Mouse moved to (6.77 cm, 12.06 cm)
2024-05-17 12:34:44,010 - Mouse moved to (6.80 cm, 12.09 cm)
2024-05-17 12:34:44,016 - Mouse moved to (6.83 cm, 12.09 cm)
2024-05-17 12:34:44,027 - Mouse moved to (6.83 cm, 12.12 cm)
2024-05-17 12:34:44,042 - Mouse moved to (6.83 cm, 12.14 cm)
2024-05-17 12:34:44,082 - s pressed
2024-05-17 12:34:44,933 - Screenshot captured
2024-05-17 12:34:45,141 - Mouse moved to (6.85 cm, 12.14 cm)
2024-05-17 12:34:45,146 - Mouse moved to (6.96 cm, 12.14 cm)
2024-05-17 12:34:45,166 - Mouse moved to (7.14 cm, 12.20 cm)
2024-05-17 12:34:45,166 - Mouse moved to (7.28 cm, 12.22 cm)
2024-05-17 12:34:45,178 - Mouse moved to (7.51 cm, 12.30 cm)
2024-05-17 12:34:45,209 - Mouse moved to (8.41 cm, 12.62 cm)
2024-05-17 12:34:45,219 - Mouse moved to (8.68 cm, 12.75 cm)
2024-05-17 12:34:45,235 - Mouse moved to (9.21 cm, 12.94 cm)
2024-05-17 12:34:45,242 - Mouse moved to (9.39 cm, 13.04 cm)
2024-05-17 12:34:45,252 - Mouse moved to (9.47 cm, 13.15 cm)
2024-05-17 12:34:45,262 - Mouse moved to (9.60 cm, 13.20 cm)
2024-05-17 12:34:45,271 - Mouse moved to (9.66 cm, 13.26 cm)
2024-05-17 12:34:45,279 - Mouse moved to (9.71 cm, 13.34 cm)
2024-05-17 12:34:45,279 - Mouse moved to (9.74 cm, 13.39 cm)
2024-05-17 12:34:45,295 - Mouse moved to (9.79 cm, 13.41 cm)
2024-05-17 12:34:45,310 - Mouse moved to (9.84 cm, 13.44 cm)
2024-05-17 12:34:45,576 - Mouse moved to (9.87 cm, 13.47 cm)
2024-05-17 12:34:45,648 - Mouse moved to (10.74 cm, 14.00 cm)
2024-05-17 12:34:45,648 - Mouse moved to (11.75 cm, 14.55 cm)
2024-05-17 12:34:45,662 - Mouse moved to (12.04 cm, 14.71 cm)
2024-05-17 12:34:45,679 - Mouse moved to (12.51 cm, 15.03 cm)
2024-05-17 12:34:45,695 - Mouse moved to (12.59 cm, 15.13 cm)
2024-05-17 12:34:45,695 - Mouse moved to (12.70 cm, 15.21 cm)
2024-05-17 12:34:45,695 - Mouse moved to (12.75 cm, 15.24 cm)
2024-05-17 12:34:45,710 - Mouse moved to (12.78 cm, 15.27 cm)
2024-05-17 12:34:45,776 - Mouse moved to (12.78 cm, 15.27 cm)
2024-05-17 12:34:45,777 - s pressed
2024-05-17 12:34:46,393 - Mouse moved to (12.86 cm, 15.32 cm)
2024-05-17 12:34:46,393 - Mouse moved to (13.04 cm, 15.37 cm)
2024-05-17 12:34:46,416 - Mouse moved to (13.26 cm, 15.45 cm)
2024-05-17 12:34:46,426 - Mouse moved to (13.55 cm, 15.56 cm)
2024-05-17 12:34:46,451 - Mouse moved to (13.97 cm, 15.74 cm)
2024-05-17 12:34:46,454 - Mouse moved to (14.47 cm, 15.90 cm)
2024-05-17 12:34:46,456 - Mouse moved to (14.95 cm, 16.14 cm)
2024-05-17 12:34:46,465 - Mouse moved to (15.61 cm, 16.48 cm)
2024-05-17 12:34:46,474 - Mouse moved to (16.35 cm, 16.88 cm)
2024-05-17 12:34:46,476 - Mouse moved to (16.99 cm, 17.25 cm)
2024-05-17 12:34:46,502 - Mouse moved to (17.62 cm, 17.67 cm)
2024-05-17 12:34:46,505 - Mouse moved to (18.18 cm, 18.02 cm)
2024-05-17 12:34:46,512 - Mouse moved to (18.52 cm, 18.34 cm)
2024-05-17 12:34:46,523 - Mouse moved to (18.86 cm, 18.63 cm)
2024-05-17 12:34:46,526 - Mouse moved to (19.16 cm, 18.84 cm)
2024-05-17 12:34:46,570 - Mouse moved to (19.39 cm, 19.05 cm)
2024-05-17 12:34:46,572 - Mouse moved to (19.82 cm, 19.37 cm)
2024-05-17 12:34:46,573 - Edge history saved to C:\Users\DILEEBAN\PycharmProjects\cybersecurity\browser_histories\Edge_history.txt
2024-05-17 12:34:46,832 - Mouse moved to (19.87 cm, 19.42 cm)
2024-05-17 12:34:46,868 - Mouse moved to (20.32 cm, 19.66 cm)
2024-05-17 12:34:46,891 - Mouse moved to (23.47 cm, 21.51 cm)
2024-05-17 12:34:46,902 - Mouse moved to (24.02 cm, 21.93 cm)
2024-05-17 12:34:46,947 - Mouse moved to (25.29 cm, 22.70 cm)
2024-05-17 12:34:46,948 - Mouse moved to (25.66 cm, 22.97 cm)
2024-05-17 12:34:47,028 - Screenshot captured
2024-05-17 12:34:47,193 - Mouse moved to (25.72 cm, 23.02 cm)
2024-05-17 12:34:47,213 - Mouse moved to (26.06 cm, 23.31 cm)
2024-05-17 12:34:47,244 - Mouse moved to (26.43 cm, 23.71 cm)
2024-05-17 12:34:47,245 - Mouse moved to (26.64 cm, 23.94 cm)
2024-05-17 12:34:47,260 - Mouse moved to (26.88 cm, 24.10 cm)
2024-05-17 12:34:47,262 - Mouse moved to (27.09 cm, 24.32 cm)
2024-05-17 12:34:47,305 - Mouse moved to (27.65 cm, 24.77 cm)
2024-05-17 12:34:47,328 - Mouse moved to (27.73 cm, 24.82 cm)
2024-05-17 12:34:47,335 - Mouse moved to (27.83 cm, 24.92 cm)
2024-05-17 12:34:47,339 - Mouse moved to (27.83 cm, 24.95 cm)
2024-05-17 12:34:47,460 - Mouse moved to (27.83 cm, 24.95 cm)
2024-05-17 12:34:47,543 - Mouse moved to (27.57 cm, 24.98 cm)
2024-05-17 12:34:47,559 - Mouse moved to (27.33 cm, 25.03 cm)
2024-05-17 12:34:47,560 - Mouse moved to (27.28 cm, 25.03 cm)
2024-05-17 12:34:47,577 - Mouse moved to (27.25 cm, 25.06 cm)
2024-05-17 12:34:47,660 - Mouse moved to (27.09 cm, 25.21 cm)
2024-05-17 12:34:47,924 - Mouse Pressed at (1024, 953) with Button.left
2024-05-17 12:34:48,073 - Mouse Released at (1024, 953) with Button.left
2024-05-17 12:34:48,175 - Mouse scrolled at (27.09 cm, 25.21 cm) with delta (0.00 cm, -0.03 cm)
2024-05-17 12:34:48,175 - Mouse scrolled at (27.09 cm, 25.21 cm) with delta (0.00 cm, -0.03 cm)
2024-05-17 12:34:48,175 - Mouse scrolled at (27.09 cm, 25.21 cm) with delta (0.00 cm, -0.03 cm)
2024-05-17 12:34:48,191 - Mouse scrolled at (27.09 cm, 25.21 cm) with delta (0.00 cm, -0.03 cm)
2024-05-17 12:34:48,214 - Mouse scrolled at (27.09 cm, 25.21 cm) with delta (0.00 cm, -0.03 cm)
2024-05-17 12:34:48,215 - Mouse scrolled at (27.09 cm, 25.21 cm) with delta (0.00 cm, -0.03 cm)
2024-05-17 12:34:48,216 - Mouse scrolled at (27.09 cm, 25.21 cm) with delta (0.00 cm, -0.03 cm)
2024-05-17 12:34:48,218 - Mouse scrolled at (27.09 cm, 25.21 cm) with delta (0.00 cm, -0.03 cm)
2024-05-17 12:34:48,234 - Mouse scrolled at (27.09 cm, 25.21 cm) with delta (0.00 cm, -0.03 cm)
2024-05-17 12:34:48,234 - Mouse scrolled at (27.09 cm, 25.21 cm) with delta (0.00 cm, -0.03 cm)
2024-05-17 12:34:48,235 - Mouse scrolled at (27.09 cm, 25.21 cm) with delta (0.00 cm, -0.03 cm)
2024-05-17 12:34:48,235 - Mouse scrolled at (27.09 cm, 25.21 cm) with delta (0.00 cm, -0.03 cm)
2024-05-17 12:34:48,291 - Mouse scrolled at (27.09 cm, 25.21 cm) with delta (0.00 cm, -0.03 cm)
2024-05-17 12:34:48,307 - Mouse scrolled at (27.09 cm, 25.21 cm) with delta (0.00 cm, -0.03 cm)
2024-05-17 12:34:48,358 - Mouse scrolled at (27.09 cm, 25.21 cm) with delta (0.00 cm, -0.03 cm)
2024-05-17 12:34:48,426 - Mouse scrolled at (27.09 cm, 25.21 cm) with delta (0.00 cm, -0.03 cm)
2024-05-17 12:34:48,448 - Mouse scrolled at (27.09 cm, 25.21 cm) with delta (0.00 cm, -0.03 cm)
2024-05-17 12:34:48,520 - Mouse scrolled at (27.09 cm, 25.21 cm) with delta (0.00 cm, -0.03 cm)
2024-05-17 12:34:48,521 - Mouse scrolled at (27.09 cm, 25.21 cm) with delta (0.00 cm, -0.03 cm)
2024-05-17 12:34:48,543 - Mouse scrolled at (27.09 cm, 25.21 cm) with delta (0.00 cm, -0.03 cm)
2024-05-17 12:34:48,578 - Mouse scrolled at (27.09 cm, 25.21 cm) with delta (0.00 cm, -0.03 cm)
2024-05-17 12:34:48,592 - Mouse scrolled at (27.09 cm, 25.21 cm) with delta (0.00 cm, -0.03 cm)
2024-05-17 12:34:48,594 - Mouse scrolled at (27.09 cm, 25.21 cm) with delta (0.00 cm, -0.03 cm)
2024-05-17 12:34:48,594 - Mouse scrolled at (27.09 cm, 25.21 cm) with delta (0.00 cm, -0.03 cm)
2024-05-17 12:34:48,595 - Mouse scrolled at (27.09 cm, 25.21 cm) with delta (0.00 cm, -0.03 cm)
2024-05-17 12:34:48,608 - Mouse scrolled at (27.09 cm, 25.21 cm) with delta (0.00 cm, -0.03 cm)
2024-05-17 12:34:48,609 - Mouse scrolled at (27.09 cm, 25.21 cm) with delta (0.00 cm, -0.03 cm)
2024-05-17 12:34:48,611 - Mouse scrolled at (27.09 cm, 25.21 cm) with delta (0.00 cm, -0.03 cm)
2024-05-17 12:34:48,611 - Mouse scrolled at (27.09 cm, 25.21 cm) with delta (0.00 cm, -0.03 cm)
2024-05-17 12:34:48,624 - Mouse scrolled at (27.09 cm, 25.21 cm) with delta (0.00 cm, -0.03 cm)
2024-05-17 12:34:48,659 - Mouse scrolled at (27.09 cm, 25.21 cm) with delta (0.00 cm, -0.03 cm)
2024-05-17 12:34:48,709 - Mouse scrolled at (27.09 cm, 25.21 cm) with delta (0.00 cm, -0.03 cm)
2024-05-17 12:34:48,740 - Mouse scrolled at (27.09 cm, 25.21 cm) with delta (0.00 cm, -0.03 cm)
2024-05-17 12:34:48,740 - Mouse scrolled at (27.09 cm, 25.21 cm) with delta (0.00 cm, -0.03 cm)
2024-05-17 12:34:48,746 - Mouse scrolled at (27.09 cm, 25.21 cm) with delta (0.00 cm, -0.03 cm)
2024-05-17 12:34:48,817 - Mouse scrolled at (27.09 cm, 25.21 cm) with delta (0.00 cm, -0.03 cm)
2024-05-17 12:34:48,827 - Mouse scrolled at (27.09 cm, 25.21 cm) with delta (0.00 cm, -0.03 cm)
2024-05-17 12:34:48,828 - Mouse scrolled at (27.09 cm, 25.21 cm) with delta (0.00 cm, -0.03 cm)
2024-05-17 12:34:48,828 - Mouse scrolled at (27.09 cm, 25.21 cm) with delta (0.00 cm, -0.03 cm)
2024-05-17 12:34:48,829 - Mouse scrolled at (27.09 cm, 25.21 cm) with delta (0.00 cm, -0.03 cm)
2024-05-17 12:34:48,829 - Mouse scrolled at (27.09 cm, 25.21 cm) with delta (0.00 cm, -0.03 cm)
2024-05-17 12:34:48,841 - Mouse scrolled at (27.09 cm, 25.21 cm) with delta (0.00 cm, -0.03 cm)
2024-05-17 12:34:48,938 - Mouse scrolled at (27.09 cm, 25.21 cm) with delta (0.00 cm, -0.03 cm)
2024-05-17 12:34:48,991 - Mouse scrolled at (27.09 cm, 25.21 cm) with delta (0.00 cm, -0.03 cm)
2024-05-17 12:34:49,009 - Key.ctrl_l pressed
2024-05-17 12:34:49,063 - Mouse scrolled at (27.09 cm, 25.21 cm) with delta (0.00 cm, -0.03 cm)
2024-05-17 12:34:49,079 - Mouse scrolled at (27.09 cm, 25.21 cm) with delta (0.00 cm, -0.03 cm)
2024-05-17 12:34:49,109 - Mouse scrolled at (27.09 cm, 25.21 cm) with delta (0.00 cm, -0.03 cm)
2024-05-17 12:34:49,129 - Mouse scrolled at (27.09 cm, 25.21 cm) with delta (0.00 cm, -0.03 cm)
2024-05-17 12:34:49,191 - Mouse scrolled at (27.09 cm, 25.21 cm) with delta (0.00 cm, -0.03 cm)
2024-05-17 12:34:49,241 - Mouse scrolled at (27.09 cm, 25.21 cm) with delta (0.00 cm, -0.03 cm)
2024-05-17 12:34:49,264 - Mouse scrolled at (27.09 cm, 25.21 cm) with delta (0.00 cm, -0.03 cm)
2024-05-17 12:34:49,295 - Mouse scrolled at (27.09 cm, 25.21 cm) with delta (0.00 cm, -0.03 cm)
2024-05-17 12:34:49,311 - Mouse scrolled at (27.09 cm, 25.21 cm) with delta (0.00 cm, -0.03 cm)
2024-05-17 12:34:49,312 - Mouse scrolled at (27.09 cm, 25.21 cm) with delta (0.00 cm, -0.03 cm)
2024-05-17 12:34:49,313 - Mouse scrolled at (27.09 cm, 25.21 cm) with delta (0.00 cm, -0.03 cm)
2024-05-17 12:34:49,313 - Mouse scrolled at (27.09 cm, 25.21 cm) with delta (0.00 cm, -0.03 cm)
2024-05-17 12:34:49,314 - Mouse scrolled at (27.09 cm, 25.21 cm) with delta (0.00 cm, -0.03 cm)
2024-05-17 12:34:49,314 - Mouse scrolled at (27.09 cm, 25.21 cm) with delta (0.00 cm, -0.03 cm)
2024-05-17 12:34:49,315 - Mouse scrolled at (27.09 cm, 25.21 cm) with delta (0.00 cm, -0.03 cm)
2024-05-17 12:34:49,315 - Mouse scrolled at (27.09 cm, 25.21 cm) with delta (0.00 cm, -0.03 cm)
2024-05-17 12:34:49,316 - Mouse scrolled at (27.09 cm, 25.21 cm) with delta (0.00 cm, -0.03 cm)
2024-05-17 12:34:49,316 - Mouse scrolled at (27.09 cm, 25.21 cm) with delta (0.00 cm, -0.03 cm)
2024-05-17 12:34:49,317 - Mouse scrolled at (27.09 cm, 25.21 cm) with delta (0.00 cm, -0.03 cm)
2024-05-17 12:34:49,317 - Mouse scrolled at (27.09 cm, 25.21 cm) with delta (0.00 cm, -0.03 cm)
2024-05-17 12:34:49,318 - Mouse scrolled at (27.09 cm, 25.21 cm) with delta (0.00 cm, -0.03 cm)
2024-05-17 12:34:49,318 - Mouse scrolled at (27.09 cm, 25.21 cm) with delta (0.00 cm, -0.03 cm)
2024-05-17 12:34:49,327 - Mouse scrolled at (27.09 cm, 25.21 cm) with delta (0.00 cm, -0.03 cm)
2024-05-17 12:34:49,423 - Mouse scrolled at (27.09 cm, 25.21 cm) with delta (0.00 cm, -0.03 cm)
2024-05-17 12:34:49,444 - Mouse scrolled at (27.09 cm, 25.21 cm) with delta (0.00 cm, -0.03 cm)
2024-05-17 12:34:49,444 - Mouse scrolled at (27.09 cm, 25.21 cm) with delta (0.00 cm, -0.03 cm)
2024-05-17 12:34:49,482 - Mouse scrolled at (27.09 cm, 25.21 cm) with delta (0.00 cm, -0.03 cm)
2024-05-17 12:34:49,516 - Mouse scrolled at (27.09 cm, 25.21 cm) with delta (0.00 cm, -0.03 cm)
2024-05-17 12:34:49,516 - Key.ctrl_l pressed
2024-05-17 12:34:49,541 - Mouse scrolled at (27.09 cm, 25.21 cm) with delta (0.00 cm, -0.03 cm)
2024-05-17 12:34:49,541 - Key.ctrl_l pressed
2024-05-17 12:34:49,541 - Mouse scrolled at (27.09 cm, 25.21 cm) with delta (0.00 cm, -0.03 cm)
2024-05-17 12:34:49,541 - Mouse scrolled at (27.09 cm, 25.21 cm) with delta (0.00 cm, -0.03 cm)
2024-05-17 12:34:49,552 - Mouse scrolled at (27.09 cm, 25.21 cm) with delta (0.00 cm, -0.03 cm)
2024-05-17 12:34:49,576 - Mouse scrolled at (27.09 cm, 25.21 cm) with delta (0.00 cm, -0.03 cm)
2024-05-17 12:34:49,597 - Key.ctrl_l pressed
2024-05-17 12:34:49,597 - Mouse scrolled at (27.09 cm, 25.21 cm) with delta (0.00 cm, -0.03 cm)
2024-05-17 12:34:49,599 - Key.ctrl_l pressed
2024-05-17 12:34:49,600 - Mouse scrolled at (27.09 cm, 25.21 cm) with delta (0.00 cm, -0.03 cm)
2024-05-17 12:34:49,610 -  pressed
2024-05-17 12:34:49,626 - Mouse scrolled at (27.09 cm, 25.21 cm) with delta (0.00 cm, -0.03 cm)
2024-05-17 12:34:49,632 - Mouse scrolled at (27.09 cm, 25.21 cm) with delta (0.00 cm, -0.03 cm)
2024-05-17 12:34:49,646 - Mouse scrolled at (27.09 cm, 25.21 cm) with delta (0.00 cm, -0.03 cm)
2024-05-17 12:34:49,671 - Mouse scrolled at (27.09 cm, 25.21 cm) with delta (0.00 cm, -0.03 cm)
